ranking,codigo ibge,cidade ,estado,populacao,uf
1969§,2111805,S¡tio Novo,ma,18ÿ237,ma
1970§,1600709,Tartarugalzinho,ÿap ,18ÿ217,ap 
1971§,1506161,Rio Maria,pa ,18ÿ208,pa 
1972§,1507102,Sao Caetano de Odivelas,pa ,18ÿ207,pa 
1973§,2304236,Croat ,ce ,18ÿ201,ce 
1974§,2705200,Messias,ÿal,18ÿ201,al
1975§,4301305,Arroio Grande,rs,18ÿ185,rs
1976§,2506806,Ing ,pb,18ÿ184,pb
1977§,2801702,Cristin polis,se,18ÿ181,se
1978§,3132107,Itacarambi,mg,18ÿ175,mg
1979§,3137502,Lagoa Formosa,mg,18ÿ168,mg
1980§,1100254,Presidente Medici,ro,18ÿ165,ro
1981§,2613800,Sao Vicente Ferrer,pe,18ÿ150,pe
1982§,3512308,Conchas,sp,18ÿ138,sp
1983§,2306702,Jaguaretama,ce ,18ÿ133,ce 
1984§,2932507,Una,ba,18ÿ108,ba
1985§,3514908,Elias Fausto,sp,18ÿ095,sp
1986§,4211207,Morro da Fumaca,sc,18ÿ095,sc
1987§,4318101,Sao Francisco de Assis,rs,18ÿ081,rs
1988§,1505403,Ourem,pa ,18ÿ079,pa 
1989§,4320404,Serafina Corrˆa,rs,18ÿ074,rs
1990§,3139300,Manga,mg,18ÿ051,mg
1991§,2500700,Sao Joao do Rio do Peixe,pb,18ÿ020,pb
1992§,4200101,Abelardo Luz,sc,18ÿ015,sc
1993§,3504602,Bady Bassitt,sp,18ÿ013,sp
1994§,3155801,Rio Pomba,mg,18ÿ007,mg
1995§,2208809,Regeneracao,pi,17ÿ979,pi
1996§,4214003,Presidente Get£lio,sc,17ÿ973,sc
1997§,4213708,Pouso Redondo,sc,17ÿ965,sc
1998§,2104404,Goncalves Dias,ma,17ÿ953,ma
1999§,1501451,Belterra,pa ,17ÿ944,pa 
2000§,2502508,Boqueirao,pb,17ÿ934,pb
2001§,3508801,Cafelƒndia,sp,17ÿ917,sp
2002§,3524600,Jacupiranga,sp,17ÿ911,sp
2003§,5217708,Pontalina,go,17ÿ899,go
2004§,4312658,Nao-Me-Toque,rs,17ÿ886,rs
2005§,4105201,Cerro Azul,pr ,17ÿ884,pr 
2006§,2706802,Piacabu‡u,ÿal,17ÿ868,al
2007§,2412609,Sao Paulo do Potengi,rn,17ÿ858,rn
2008§,3104502,Arinos,mg,17ÿ850,mg
2009§,2901908,Apor ,ba,17ÿ840,ba
2010§,2302909,Capistrano,ce ,17ÿ830,ce 
2011§,3551900,Sever¡nia,sp,17ÿ820,sp
2012§,2104206,Fortuna,ma,17ÿ812,ma
2013§,2910750,F tima,ba,17ÿ801,ba
2014§,1502772,Curion¢polis,pa ,17ÿ764,pa 
2015§,2303402,Carnaubal,ce ,17ÿ763,ce 
2016§,3523305,Itariri,sp,17ÿ754,sp
2017§,3115102,C ssia,mg,17ÿ741,mg
2018§,2501906,Belem,pb,17ÿ733,pb
2019§,2312106,Santana do Cariri,ce ,17ÿ726,ce 
2020§,2701605,Canapi,ÿal,17ÿ715,al
2021§,2704104,Lagoa da Canoa,ÿal,17ÿ692,al
2022§,3540804,Potirendaba,sp,17ÿ668,sp
2023§,3150802,Piranga,mg,17ÿ641,mg
2024§,1713205,Miracema do Tocantins,to,17ÿ628,to
2025§,1600154,Pedra Branca do apri,ÿap ,17ÿ625,ap 
2026§,2210409,Sao Miguel do Tapuio,pi,17ÿ617,pi
2027§,3108008,Bom Sucesso,mg,17ÿ612,mg
2028§,4217501,Seara,sc,17ÿ610,sc
2029§,2200509,Amarante,pi,17ÿ609,pi
2030§,2504900,Cruz do Esp¡rito Santo,pb,17ÿ599,pb
2031§,2300408,Aiuaba,ce ,17ÿ584,ce 
2032§,2100832,Apicum-A‡u,ma,17ÿ582,ma
2033§,2923357,Ourolƒndia,ba,17ÿ567,ba
2034§,4127403,Terra Roxa,pr ,17ÿ562,pr 
2035§,5106372,Pedra Preta,mt,17ÿ547,mt
2036§,3511706,Charqueada,sp,17ÿ539,sp
2037§,3148608,Pecanha,mg,17ÿ534,mg
2038§,2200202,Agua Branca,pi,17ÿ525,pi
2039§,3144706,Nova Era,mg,17ÿ524,mg
2040§,2931053,Tanque Novo,ba,17ÿ518,ba
2041§,2700201,Anadia,ÿal,17ÿ507,al
2042§,3170529,Urucuia,mg,17ÿ470,mg
2043§,5006903,Porto Murtinho,ms,17ÿ460,ms
2044§,2101251,Bacabeira,ma,17ÿ446,ma
2045§,3117504,Conceicao do Mato Dentro,mg,17ÿ438,mg
2046§,2929602,Sapea‡u,ba,17ÿ421,ba
2047§,5207907,Flores de Goi s,go,17ÿ415,go
2048§,3508108,Buritama,sp,17ÿ414,sp
2049§,3521705,Itaber ,sp,17ÿ405,sp
2050§,2907905,Cip¢,ba,17ÿ402,ba
2051§,3154309,Resplendor,mg,17ÿ396,mg
2052§,4107603,Faxinal,pr ,17ÿ379,pr 
2053§,3538105,Pindorama,sp,17ÿ378,sp
2054§,3545001,Sales¢polis,sp,17ÿ363,sp
2055§,4321105,Tapes,rs,17ÿ363,rs
2056§,2929701,S tiro Dias,ba,17ÿ330,ba
2057§,4210605,Massaranduba,sc,17ÿ330,sc
2058§,2804003,Maruim,se,17ÿ328,se
2059§,2108900,Pocao de Pedras,ma,17ÿ321,ma
2060§,2106631,Matäes do Norte,ma,17ÿ316,ma
2061§,2608008,Jata£ba,pe,17ÿ305,pe
2062§,4127205,Terra Boa,pr ,17ÿ304,pr 
2063§,3161007,Sao Domingos do Prata,mg,17ÿ296,mg
2064§,4127601,Tijucas do Sul,pr ,17ÿ295,pr 
2065§,2907608,Central,ba,17ÿ293,ba
2066§,2308609,Monsenhor Tabosa,ce ,17ÿ264,ce 
2067§,3528007,Macatuba,sp,17ÿ263,sp
2068§,2930303,Serra Dourada,ba,17ÿ261,ba
2069§,1501576,Bom Jesus do Tocantins,pa ,17ÿ254,pa 
